Subject,Year,Session,ExamType,PaperNumber,PDF_Link
Pulmonology,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Tuberculosis and Chest Disease Paper3.pdf
Pulmonology,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Tuberculosis and Chest Disease Paper2.pdf
Pulmonology,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Tuberculosis and Chest Disease Paper1.pdf
Radiology,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Radio Diagnosis Paper3.pdf
Radiology,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Radio Diagnosis Paper2.pdf
Radiology,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Radio Diagnosis Paper1.pdf
Pediatrics,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Paediatrics Paper3.pdf
Pediatrics,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Paediatrics Paper2.pdf
Pediatrics,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Paediatrics Paper1.pdf
ENT,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Otorhinolaryngology ENT Paper3.pdf
ENT,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Otorhinolaryngology ENT Paper2.pdf
ENT,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Otorhinolaryngology ENT Paper1.pdf
Ophthalmology,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Ophthalmology Paper3.pdf
Ophthalmology,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Ophthalmology Paper2.pdf
Ophthalmology,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Ophthalmology Paper1.pdf
Obstetrics & Gynecology,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Obstetrics and Gynaecology Paper3.pdf
Obstetrics & Gynecology,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Obstetrics and Gynaecology Paper2.pdf
Obstetrics & Gynecology,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Obstetrics and Gynaecology Paper1.pdf
Family Medicine,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Family Medicine Paper3.pdf
Family Medicine,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Family Medicine Paper2.pdf
Family Medicine,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Family Medicine Paper1.pdf
Anesthesia,2025,December,DipNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Anaesthesiology Paper3.pdf
Anesthesia,2025,December,DipNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Anaesthesiology Paper2.pdf
Anesthesia,2025,December,DipNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/Diploma Anaesthesiology Paper1.pdf
Anesthesia,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anaesthesiology Paper1.pdf
Anesthesia,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anaesthesiology Paper2.pdf
Anesthesia,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anaesthesiology Paper3.pdf
Anesthesia,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anaesthesiology Paper4.pdf
Anatomy,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anatomy Paper1.pdf
Anatomy,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anatomy Paper2.pdf
Anatomy,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anatomy Paper3.pdf
Anatomy,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Anatomy Paper4.pdf
Biochemistry,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Biochemistry Paper1.pdf
Biochemistry,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Biochemistry Paper2.pdf
Biochemistry,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Biochemistry Paper3.pdf
Biochemistry,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Biochemistry Paper4.pdf
Community Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Community Medicine Paper1.pdf
Community Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Community Medicine Paper2.pdf
Community Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Community Medicine Paper3.pdf
Community Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Community Medicine Paper4.pdf
Dermatology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Dermatology Venereology and Leprosy Paper1.pdf
Dermatology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Dermatology Venereology and Leprosy Paper2.pdf
Dermatology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Dermatology Venereology and Leprosy Paper3.pdf
Dermatology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Dermatology Venereology and Leprosy Paper4.pdf
Emergency Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Emergency Medicine Paper1.pdf
Emergency Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Emergency Medicine Paper2.pdf
Emergency Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Emergency Medicine Paper3.pdf
Emergency Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Emergency Medicine Paper4.pdf
Family Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Family Medicine Paper1.pdf
Family Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Family Medicine Paper2.pdf
Family Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Family Medicine Paper3.pdf
Family Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Family Medicine Paper4.pdf
Forensic Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Forensic Medicine Paper1.pdf
Forensic Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Forensic Medicine Paper2.pdf
Forensic Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Forensic Medicine Paper3.pdf
Forensic Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Forensic Medicine Paper4.pdf
General Medicine,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB General Medicine Paper1.pdf
General Medicine,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB General Medicine Paper2.pdf
General Medicine,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB General Medicine Paper3.pdf
General Medicine,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB General Medicine Paper4.pdf
General Surgery,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB General Surgery Paper1.pdf
